tract_id,median_income,pct_higher_edu,median_house_value,pct_in_labor_force,pct_owner_occupied,pct_renter_occupied,pct_vacant,pct_white,pct_black,pop_density,total_pop,distance_to_downtown,area_sqkm,compactness
Census Tract 1428,0.34081802831978736,0.33108258895159826,-0.17492523428403695,0.5954363972774478,0.4865903501220909,-0.486590350122091,0.2937489991866188,0.7469311603028984,-0.7646340100882102,-0.5113397721883011,0.03445211083242202,-1.0771963685796404,-0.12366570571548452,-1.0786890648361427
Census Tract 1501,0.15115749065285602,0.5963243321450997,0.7065755255071764,0.15433433427180443,-0.3106619617924244,0.3106619617924244,-1.0433271206811112,0.9532901198208387,-0.7498405579775979,-0.1852452991425551,-0.13071381601728121,-0.18685017495768924,-0.18918227647302346,-1.2158553225202937
Census Tract 1502,0.07264804897293557,0.7721327295439279,0.15084678563880277,0.7469019869996818,-0.36155428358585145,0.3615542835858509,0.6294146581339685,-0.2459942557924945,-0.6492846383102212,-0.33693211027959064,-0.6592447819363315,-0.02890697477009424,-0.18785509232440306,-0.788755566856132
Census Tract 1503,0.11619481577991163,-0.2563198427340922,0.1427781287986086,0.3157118186594323,0.48035970582268034,-0.4803597058226805,-0.8877635580171235,0.5947044675017802,-0.45489995992821236,-0.12005101048199368,-0.1881915585609779,0.09995930348575299,-0.19645850837223866,-0.1220575304207089
Census Tract 1504,-0.16324869202965983,0.7185384494165167,0.2991083550773707,-0.08080031049916224,-0.1619565891213872,0.16195658912138744,-0.5428521325614022,0.3577701888775643,-0.3185066085722219,0.08949996750104862,-0.08116403796237023,0.183359787678819,-0.20790536754532604,-1.15938602023407
Census Tract 1505,0.35341785424870936,0.19449082026289563,0.39895798347477357,0.9138907990467013,0.7729337355109489,-0.7729337355109489,-0.8050524889565935,0.7865660597436753,-0.6132065121454726,-0.5436577835780286,-0.11353655962491206,0.3477397465817142,-0.11940666360438489,0.7921349022858652
Census Tract 1506,0.8440373919547164,0.617790061204397,1.1412744127726375,0.09738621771585122,0.9345048630397684,-0.9345048630397682,-0.6302519187517693,0.569964805555222,-0.7137719011016174,-0.5796379837071901,1.3597435078744406,-0.01446566383133895,-0.02082815486145889,1.8169574395525987
Census Tract 1507,1.2415950574488608,0.45131165735589834,1.381316953768414,0.8480995453930981,0.9992633659601123,-0.9992633659601126,-0.9892561395819462,0.9179466557145854,-0.7646340100882102,-0.7108682396278949,-0.047470188885030774,-0.31758862181741465,0.0005529648173482557,1.4767919110724632
Census Tract 1508,0.3365075615546298,0.41514766222466776,0.6843867191966424,0.1487704049443538,0.5285706400105409,-0.5285706400105407,-0.7015236814207795,0.5457403864508218,-0.5156107802479131,-0.48441346834710036,-0.15251571836144204,-0.5019803607679781,-0.14047310429269727,0.2922269670432652
Census Tract 1509,1.2387950961313225,0.8925797955175182,1.1120255317269336,0.6354022967743894,0.8863155624185282,-0.8863155624185279,-0.5312322500634172,0.8895781725669691,-0.7255248478505723,-0.51552697634236,-0.38440867965842535,-0.270604597626045,-0.1422187599116357,-0.7927346885212441
