tract_id,SES_2010,SES_2020,SES_ASCENT,SES_PR_2010,SES_PR_2020,SES_PR_ASCENT
Census Tract 1512,0.23680979396111426,0.5927960825470124,0.3559862885858982,66.47727272727273,65.3409090909091,63.06818181818182
Census Tract 1542,-0.789502772572911,-1.0375051915911917,-0.24800241901828068,38.06818181818182,31.818181818181817,11.931818181818182
Census Tract 1545,-1.0742411745521607,-1.429346084599542,-0.3551049100473813,31.818181818181817,20.454545454545457,6.25
Census Tract 1546,-0.814961842111378,-1.0888201754326836,-0.2738583333213056,37.5,29.545454545454547,9.659090909090908
Census Tract 1547,-0.05822069285921654,0.878010932011264,0.9362316248704805,59.65909090909091,68.75,94.88636363636364
Census Tract 1548,-0.3759943096910745,0.10982055784057176,0.48581486753164627,50.56818181818182,57.38636363636363,72.72727272727273
Census Tract 1549,-0.9925155089982842,-0.5583295916409745,0.4341859173573097,34.090909090909086,41.47727272727273,69.31818181818183
Census Tract 1550,-1.0898351368773889,-0.9018741179643637,0.1879610189130252,31.25,35.22727272727273,49.43181818181818
Census Tract 1551,-0.8779770792680636,-1.2733157964479003,-0.3953387171798367,35.79545454545455,22.15909090909091,3.977272727272727
Census Tract 1571,1.5016472947264006,1.4352149784302004,-0.06643231629620017,81.81818181818183,75.0,24.431818181818183
Census Tract 1572,2.45032684297982,2.8014267487528848,0.3510999057730646,94.31818181818183,93.18181818181817,62.5
Census Tract 1573,2.5947038631932773,3.7673652161389977,1.1726613529457204,95.45454545454545,97.72727272727273,97.72727272727273
Census Tract 1574,1.8706553209173669,2.8338481836262814,0.9631928627089146,88.06818181818183,93.75,95.45454545454545
Census Tract 1601,3.8778793381848997,4.576300136472035,0.6984207982871355,100.0,100.0,85.79545454545455
Census Tract 1602,3.209172541842289,4.100789597082231,0.8916170552399416,98.29545454545455,99.43181818181817,93.75
Census Tract 1611,2.2189558083883143,2.9202689709378378,0.7013131625495235,91.47727272727273,94.31818181818183,86.36363636363636
Census Tract 1651,-0.47271119523837934,-0.1160882660618381,0.35662292917654126,47.72727272727273,51.70454545454546,63.63636363636363
Census Tract 1652,3.263536942744784,2.9715178687181507,-0.2920190740266331,98.86363636363636,94.88636363636364,8.522727272727272
Census Tract 1653,1.506642977087148,1.9750366628378897,0.4683936857507418,82.38636363636364,82.95454545454545,71.02272727272727
Census Tract 1654,0.20909791100068667,0.47509433409948776,0.2659964230988011,65.3409090909091,63.63636363636363,53.97727272727273
Census Tract 1655,-1.391036576811947,-1.503179212753112,-0.11214263594116503,23.295454545454543,19.886363636363637,21.022727272727273
Census Tract 1656,-0.5684869481632072,-0.5451165773285371,0.023370370834670084,45.45454545454545,42.61363636363637,32.38636363636363
Census Tract 1657,-0.40121609098311467,-0.3584029717209376,0.04281311926217707,49.43181818181818,44.88636363636363,34.090909090909086
Census Tract 1658.01,-0.38101667668464934,-0.01108290794900081,0.36993376873564854,50.0,54.54545454545454,64.77272727272727
